Typ,Epsilon,Wyznacznik,Lewo,Na Linii,Prawo
A,0.0,mat_det_3x3,49868,0,50132
B,0.0,mat_det_3x3,49934,0,50066
C,0.0,mat_det_3x3,496,0,504
D,0.0,mat_det_3x3,199,591,210
A32,0.0,mat_det_3x3,49868,0,50132
B32,0.0,mat_det_3x3,49934,0,50066
C32,0.0,mat_det_3x3,496,0,504
D32,0.0,mat_det_3x3,148,528,324
A,0.0,mat_det_3x3_lib,49868,0,50132
B,0.0,mat_det_3x3_lib,49934,0,50066
C,0.0,mat_det_3x3_lib,496,0,504
D,0.0,mat_det_3x3_lib,164,723,113
A32,0.0,mat_det_3x3_lib,49868,0,50132
B32,0.0,mat_det_3x3_lib,49934,0,50066
C32,0.0,mat_det_3x3_lib,496,0,504
D32,0.0,mat_det_3x3_lib,424,156,420
A,0.0,mat_det_2x2,49868,0,50132
B,0.0,mat_det_2x2,49932,4,50064
C,0.0,mat_det_2x2,496,0,504
D,0.0,mat_det_2x2,340,303,357
A32,0.0,mat_det_2x2,49868,0,50132
B32,0.0,mat_det_2x2,0,100000,0
C32,0.0,mat_det_2x2,496,0,504
D32,0.0,mat_det_2x2,241,281,478
A,0.0,mat_det_2x2_lib,49868,0,50132
B,0.0,mat_det_2x2_lib,49935,0,50065
C,0.0,mat_det_2x2_lib,496,0,504
D,0.0,mat_det_2x2_lib,490,4,506
A32,0.0,mat_det_2x2_lib,49868,0,50132
B32,0.0,mat_det_2x2_lib,0,100000,0
C32,0.0,mat_det_2x2_lib,496,0,504
D32,0.0,mat_det_2x2_lib,372,2,626
A,1e-08,mat_det_3x3,49868,0,50132
B,1e-08,mat_det_3x3,49934,0,50066
C,1e-08,mat_det_3x3,496,0,504
D,1e-08,mat_det_3x3,0,1000,0
A32,1e-08,mat_det_3x3,49868,0,50132
B32,1e-08,mat_det_3x3,49934,0,50066
C32,1e-08,mat_det_3x3,496,0,504
D32,1e-08,mat_det_3x3,54,882,64
A,1e-08,mat_det_3x3_lib,49868,0,50132
B,1e-08,mat_det_3x3_lib,49934,0,50066
C,1e-08,mat_det_3x3_lib,496,0,504
D,1e-08,mat_det_3x3_lib,0,1000,0
A32,1e-08,mat_det_3x3_lib,49868,0,50132
B32,1e-08,mat_det_3x3_lib,49934,0,50066
C32,1e-08,mat_det_3x3_lib,496,0,504
D32,1e-08,mat_det_3x3_lib,0,1000,0
A,1e-08,mat_det_2x2,49868,0,50132
B,1e-08,mat_det_2x2,49932,4,50064
C,1e-08,mat_det_2x2,496,0,504
D,1e-08,mat_det_2x2,0,1000,0
A32,1e-08,mat_det_2x2,49868,0,50132
B32,1e-08,mat_det_2x2,0,100000,0
C32,1e-08,mat_det_2x2,496,0,504
D32,1e-08,mat_det_2x2,1,976,23
A,1e-08,mat_det_2x2_lib,49868,0,50132
B,1e-08,mat_det_2x2_lib,49935,0,50065
C,1e-08,mat_det_2x2_lib,496,0,504
D,1e-08,mat_det_2x2_lib,0,1000,0
A32,1e-08,mat_det_2x2_lib,49868,0,50132
B32,1e-08,mat_det_2x2_lib,0,100000,0
C32,1e-08,mat_det_2x2_lib,496,0,504
D32,1e-08,mat_det_2x2_lib,0,982,18
A,1e-10,mat_det_3x3,49868,0,50132
B,1e-10,mat_det_3x3,49934,0,50066
C,1e-10,mat_det_3x3,496,0,504
D,1e-10,mat_det_3x3,0,1000,0
A32,1e-10,mat_det_3x3,49868,0,50132
B32,1e-10,mat_det_3x3,49934,0,50066
C32,1e-10,mat_det_3x3,496,0,504
D32,1e-10,mat_det_3x3,148,528,324
A,1e-10,mat_det_3x3_lib,49868,0,50132
B,1e-10,mat_det_3x3_lib,49934,0,50066
C,1e-10,mat_det_3x3_lib,496,0,504
D,1e-10,mat_det_3x3_lib,0,1000,0
A32,1e-10,mat_det_3x3_lib,49868,0,50132
B32,1e-10,mat_det_3x3_lib,49934,0,50066
C32,1e-10,mat_det_3x3_lib,496,0,504
D32,1e-10,mat_det_3x3_lib,424,157,419
A,1e-10,mat_det_2x2,49868,0,50132
B,1e-10,mat_det_2x2,49932,4,50064
C,1e-10,mat_det_2x2,496,0,504
D,1e-10,mat_det_2x2,0,1000,0
A32,1e-10,mat_det_2x2,49868,0,50132
B32,1e-10,mat_det_2x2,0,100000,0
C32,1e-10,mat_det_2x2,496,0,504
D32,1e-10,mat_det_2x2,241,281,478
A,1e-10,mat_det_2x2_lib,49868,0,50132
B,1e-10,mat_det_2x2_lib,49935,0,50065
C,1e-10,mat_det_2x2_lib,496,0,504
D,1e-10,mat_det_2x2_lib,0,1000,0
A32,1e-10,mat_det_2x2_lib,49868,0,50132
B32,1e-10,mat_det_2x2_lib,0,100000,0
C32,1e-10,mat_det_2x2_lib,496,0,504
D32,1e-10,mat_det_2x2_lib,360,22,618
A,1e-12,mat_det_3x3,49868,0,50132
B,1e-12,mat_det_3x3,49934,0,50066
C,1e-12,mat_det_3x3,496,0,504
D,1e-12,mat_det_3x3,0,1000,0
A32,1e-12,mat_det_3x3,49868,0,50132
B32,1e-12,mat_det_3x3,49934,0,50066
C32,1e-12,mat_det_3x3,496,0,504
D32,1e-12,mat_det_3x3,148,528,324
A,1e-12,mat_det_3x3_lib,49868,0,50132
B,1e-12,mat_det_3x3_lib,49934,0,50066
C,1e-12,mat_det_3x3_lib,496,0,504
D,1e-12,mat_det_3x3_lib,0,1000,0
A32,1e-12,mat_det_3x3_lib,49868,0,50132
B32,1e-12,mat_det_3x3_lib,49934,0,50066
C32,1e-12,mat_det_3x3_lib,496,0,504
D32,1e-12,mat_det_3x3_lib,424,156,420
A,1e-12,mat_det_2x2,49868,0,50132
B,1e-12,mat_det_2x2,49932,4,50064
C,1e-12,mat_det_2x2,496,0,504
D,1e-12,mat_det_2x2,0,1000,0
A32,1e-12,mat_det_2x2,49868,0,50132
B32,1e-12,mat_det_2x2,0,100000,0
C32,1e-12,mat_det_2x2,496,0,504
D32,1e-12,mat_det_2x2,241,281,478
A,1e-12,mat_det_2x2_lib,49868,0,50132
B,1e-12,mat_det_2x2_lib,49935,0,50065
C,1e-12,mat_det_2x2_lib,496,0,504
D,1e-12,mat_det_2x2_lib,0,1000,0
A32,1e-12,mat_det_2x2_lib,49868,0,50132
B32,1e-12,mat_det_2x2_lib,0,100000,0
C32,1e-12,mat_det_2x2_lib,496,0,504
D32,1e-12,mat_det_2x2_lib,372,2,626
A,1e-14,mat_det_3x3,49868,0,50132
B,1e-14,mat_det_3x3,49934,0,50066
C,1e-14,mat_det_3x3,496,0,504
D,1e-14,mat_det_3x3,0,1000,0
A32,1e-14,mat_det_3x3,49868,0,50132
B32,1e-14,mat_det_3x3,49934,0,50066
C32,1e-14,mat_det_3x3,496,0,504
D32,1e-14,mat_det_3x3,148,528,324
A,1e-14,mat_det_3x3_lib,49868,0,50132
B,1e-14,mat_det_3x3_lib,49934,0,50066
C,1e-14,mat_det_3x3_lib,496,0,504
D,1e-14,mat_det_3x3_lib,0,1000,0
A32,1e-14,mat_det_3x3_lib,49868,0,50132
B32,1e-14,mat_det_3x3_lib,49934,0,50066
C32,1e-14,mat_det_3x3_lib,496,0,504
D32,1e-14,mat_det_3x3_lib,424,156,420
A,1e-14,mat_det_2x2,49868,0,50132
B,1e-14,mat_det_2x2,49932,4,50064
C,1e-14,mat_det_2x2,496,0,504
D,1e-14,mat_det_2x2,0,1000,0
A32,1e-14,mat_det_2x2,49868,0,50132
B32,1e-14,mat_det_2x2,0,100000,0
C32,1e-14,mat_det_2x2,496,0,504
D32,1e-14,mat_det_2x2,241,281,478
A,1e-14,mat_det_2x2_lib,49868,0,50132
B,1e-14,mat_det_2x2_lib,49935,0,50065
C,1e-14,mat_det_2x2_lib,496,0,504
D,1e-14,mat_det_2x2_lib,0,1000,0
A32,1e-14,mat_det_2x2_lib,49868,0,50132
B32,1e-14,mat_det_2x2_lib,0,100000,0
C32,1e-14,mat_det_2x2_lib,496,0,504
D32,1e-14,mat_det_2x2_lib,372,2,626
