Typ,Epsilon,Wyznacznik,Lewo,Na Linii,Prawo
A,0.0,mat_det_3x3,50344,0,49656
B,0.0,mat_det_3x3,49861,0,50139
C,0.0,mat_det_3x3,509,0,491
D,0.0,mat_det_3x3,20,59,21
A32,0.0,mat_det_3x3,50344,0,49656
B32,0.0,mat_det_3x3,49861,0,50139
C32,0.0,mat_det_3x3,509,0,491
D32,0.0,mat_det_3x3,14,51,35
A,0.0,mat_det_3x3_lib,50344,0,49656
B,0.0,mat_det_3x3_lib,49861,0,50139
C,0.0,mat_det_3x3_lib,509,0,491
D,0.0,mat_det_3x3_lib,21,68,11
A32,0.0,mat_det_3x3_lib,50344,0,49656
B32,0.0,mat_det_3x3_lib,49861,0,50139
C32,0.0,mat_det_3x3_lib,509,0,491
D32,0.0,mat_det_3x3_lib,41,17,42
A,0.0,mat_det_2x2,50344,0,49656
B,0.0,mat_det_2x2,49858,5,50137
C,0.0,mat_det_2x2,509,0,491
D,0.0,mat_det_2x2,36,34,30
A32,0.0,mat_det_2x2,50344,0,49656
B32,0.0,mat_det_2x2,0,100000,0
C32,0.0,mat_det_2x2,509,0,491
D32,0.0,mat_det_2x2,25,27,48
A,0.0,mat_det_2x2_lib,50344,0,49656
B,0.0,mat_det_2x2_lib,49861,0,50139
C,0.0,mat_det_2x2_lib,509,0,491
D,0.0,mat_det_2x2_lib,50,2,48
A32,0.0,mat_det_2x2_lib,50344,0,49656
B32,0.0,mat_det_2x2_lib,0,100000,0
C32,0.0,mat_det_2x2_lib,509,0,491
D32,0.0,mat_det_2x2_lib,36,2,62
A,1e-08,mat_det_3x3,50344,0,49656
B,1e-08,mat_det_3x3,49861,0,50139
C,1e-08,mat_det_3x3,509,0,491
D,1e-08,mat_det_3x3,0,100,0
A32,1e-08,mat_det_3x3,50344,0,49656
B32,1e-08,mat_det_3x3,49861,0,50139
C32,1e-08,mat_det_3x3,509,0,491
D32,1e-08,mat_det_3x3,5,87,8
A,1e-08,mat_det_3x3_lib,50344,0,49656
B,1e-08,mat_det_3x3_lib,49861,0,50139
C,1e-08,mat_det_3x3_lib,509,0,491
D,1e-08,mat_det_3x3_lib,0,100,0
A32,1e-08,mat_det_3x3_lib,50344,0,49656
B32,1e-08,mat_det_3x3_lib,49861,0,50139
C32,1e-08,mat_det_3x3_lib,509,0,491
D32,1e-08,mat_det_3x3_lib,0,100,0
A,1e-08,mat_det_2x2,50344,0,49656
B,1e-08,mat_det_2x2,49858,5,50137
C,1e-08,mat_det_2x2,509,0,491
D,1e-08,mat_det_2x2,0,100,0
A32,1e-08,mat_det_2x2,50344,0,49656
B32,1e-08,mat_det_2x2,0,100000,0
C32,1e-08,mat_det_2x2,509,0,491
D32,1e-08,mat_det_2x2,1,97,2
A,1e-08,mat_det_2x2_lib,50344,0,49656
B,1e-08,mat_det_2x2_lib,49861,0,50139
C,1e-08,mat_det_2x2_lib,509,0,491
D,1e-08,mat_det_2x2_lib,0,100,0
A32,1e-08,mat_det_2x2_lib,50344,0,49656
B32,1e-08,mat_det_2x2_lib,0,100000,0
C32,1e-08,mat_det_2x2_lib,509,0,491
D32,1e-08,mat_det_2x2_lib,0,98,2
A,1e-10,mat_det_3x3,50344,0,49656
B,1e-10,mat_det_3x3,49861,0,50139
C,1e-10,mat_det_3x3,509,0,491
D,1e-10,mat_det_3x3,0,100,0
A32,1e-10,mat_det_3x3,50344,0,49656
B32,1e-10,mat_det_3x3,49861,0,50139
C32,1e-10,mat_det_3x3,509,0,491
D32,1e-10,mat_det_3x3,14,51,35
A,1e-10,mat_det_3x3_lib,50344,0,49656
B,1e-10,mat_det_3x3_lib,49861,0,50139
C,1e-10,mat_det_3x3_lib,509,0,491
D,1e-10,mat_det_3x3_lib,0,100,0
A32,1e-10,mat_det_3x3_lib,50344,0,49656
B32,1e-10,mat_det_3x3_lib,49861,0,50139
C32,1e-10,mat_det_3x3_lib,509,0,491
D32,1e-10,mat_det_3x3_lib,41,17,42
A,1e-10,mat_det_2x2,50344,0,49656
B,1e-10,mat_det_2x2,49858,5,50137
C,1e-10,mat_det_2x2,509,0,491
D,1e-10,mat_det_2x2,0,100,0
A32,1e-10,mat_det_2x2,50344,0,49656
B32,1e-10,mat_det_2x2,0,100000,0
C32,1e-10,mat_det_2x2,509,0,491
D32,1e-10,mat_det_2x2,25,27,48
A,1e-10,mat_det_2x2_lib,50344,0,49656
B,1e-10,mat_det_2x2_lib,49861,0,50139
C,1e-10,mat_det_2x2_lib,509,0,491
D,1e-10,mat_det_2x2_lib,0,100,0
A32,1e-10,mat_det_2x2_lib,50344,0,49656
B32,1e-10,mat_det_2x2_lib,0,100000,0
C32,1e-10,mat_det_2x2_lib,509,0,491
D32,1e-10,mat_det_2x2_lib,36,3,61
A,1e-12,mat_det_3x3,50344,0,49656
B,1e-12,mat_det_3x3,49861,0,50139
C,1e-12,mat_det_3x3,509,0,491
D,1e-12,mat_det_3x3,0,100,0
A32,1e-12,mat_det_3x3,50344,0,49656
B32,1e-12,mat_det_3x3,49861,0,50139
C32,1e-12,mat_det_3x3,509,0,491
D32,1e-12,mat_det_3x3,14,51,35
A,1e-12,mat_det_3x3_lib,50344,0,49656
B,1e-12,mat_det_3x3_lib,49861,0,50139
C,1e-12,mat_det_3x3_lib,509,0,491
D,1e-12,mat_det_3x3_lib,0,100,0
A32,1e-12,mat_det_3x3_lib,50344,0,49656
B32,1e-12,mat_det_3x3_lib,49861,0,50139
C32,1e-12,mat_det_3x3_lib,509,0,491
