Liczba pkt,Otoczka Graham,Algorytm Graham'a ,Otoczka Jarvis,Algorytm Jarvis'a,
50,13,0.001,13,0.001,
100,12,0.001,12,0.001,
500,17,0.002,17,0.004,
1000,20,0.003,20,0.017,
2500,22,0.011,22,0.047,
5000,20,0.023,20,0.053,
10000,27,0.061,27,0.197,
25000,31,0.157,31,0.622,
30000,28,0.200,28,0.686,
40000,28,0.313,28,0.984,
50000,21,0.348,21,1.032,
60000,27,0.624,27,1.625,
70000,34,0.601,34,2.977,
80000,28,0.962,28,3.031,
90000,34,0.998,34,3.088,
100000,34,0.775,34,3.698,
,,,,,
Liczba pkt,Otoczka Graham,Czas Graham ,Otoczka Jarvis,Czas Jarvis,
50,50,0.001,50,0.009,
100,100,0.001,100,0.013,
500,500,0.005,500,0.971,
1000,1000,0.011,1000,1.731,
2500,2500,0.036,2500,5.336,
5000,5000,0.022,5000,23.788,
10000,10000,0.047,10000,85.968,
25000,25000,0.156,25000,681.256,
30000,30000,0.171,30000,912.791,
40000,40000,0.223,40000,2400.529,
,,,,,
Liczba pkt,Otoczka Graham,Czas Graham ,Otoczka Jarvis,Czas Jarvis,
50,8,0.00078845,8,0.008748293,
100,8,0.000396729,8,0.000439405,
500,8,0.002048016,8,0.001847744,
1000,8,0.003877878,8,0.003419876,
2500,8,0.021760464,8,0.013528824,
5000,8,0.023740053,8,0.019366503,
10000,8,0.059448481,8,0.039515257,
25000,8,0.124610424,8,0.143605232,
30000,8,0.145371675,8,0.118912935,
40000,8,0.176439047,8,0.213088274,
50000,8,0.23648119,8,0.267182112,
60000,8,0.45853281,8,0.38253355,
70000,8,0.381942511,8,0.351586819,
80000,8,0.358326197,8,0.465702295,
90000,8,0.694407225,8,0.680170536,
100000,8,0.774951696,8,0.554622412,
,,,,,
Liczba pkt boki,Liczba pkt krawedzie,Otoczka Graham,Czas Graham ,Otoczka Jarvis,Czas Jarvis
104,50,4,0.001284838,4,0.00046134
204,100,4,0.003283978,4,0.000804186
1004,500,4,0.013684273,4,0.004551172
2004,1000,4,0.01872611,4,0.008593321
5004,2500,4,0.038654804,4,0.020920277
10004,5000,4,0.091917515,4,0.050094604
20004,10000,4,0.196667194,4,0.105787039
50004,25000,4,0.586350918,4,0.422057629
60004,30000,4,0.867877722,4,0.557002068
80004,40000,4,1.257499695,4,0.509304762
100004,50000,4,1.121701479,4,0.663307428
120004,60000,4,1.341459036,4,0.772072315
140004,70000,4,1.611045837,4,0.922367811
160004,80000,4,1.859754086,4,1.108762503
180004,90000,4,2.719493866,4,1.628334284
200004,100000,4,3.447161674,4,1.841564178
