Liczba pkt,Otoczka Graham,Czas Graham ,Otoczka Jarvis,Czas Jarvis
50,8,0.0007884502410888672,8,0.008748292922973633
100,8,0.000396728515625,8,0.0004394054412841797
500,8,0.002048015594482422,8,0.0018477439880371094
1000,8,0.003877878189086914,8,0.0034198760986328125
2500,8,0.02176046371459961,8,0.013528823852539062
5000,8,0.023740053176879883,8,0.01936650276184082
10000,8,0.0594484806060791,8,0.03951525688171387
25000,8,0.12461042404174805,8,0.14360523223876953
30000,8,0.145371675491333,8,0.11891293525695801
40000,8,0.1764390468597412,8,0.2130882740020752
50000,8,0.2364811897277832,8,0.2671821117401123
60000,8,0.45853281021118164,8,0.38253355026245117
70000,8,0.3819425106048584,8,0.35158681869506836
80000,8,0.3583261966705322,8,0.4657022953033447
90000,8,0.6944072246551514,8,0.6801705360412598
100000,8,0.774951696395874,8,0.5546224117279053
