Liczba pkt boki,Liczba pkt krawedzie,Otoczka Graham,Czas Graham ,Otoczka Jarvis,Czas Jarvis
50,50,4,0.0012848377227783203,4,0.00046133995056152344
100,100,4,0.003283977508544922,4,0.0008041858673095703
500,500,4,0.013684272766113281,4,0.0045511722564697266
1000,1000,4,0.018726110458374023,4,0.008593320846557617
2500,2500,4,0.03865480422973633,4,0.020920276641845703
5000,5000,4,0.09191751480102539,4,0.0500946044921875
10000,10000,4,0.19666719436645508,4,0.10578703880310059
25000,25000,4,0.5863509178161621,4,0.4220576286315918
30000,30000,4,0.867877721786499,4,0.557002067565918
40000,40000,4,1.2574996948242188,4,0.5093047618865967
50000,50000,4,1.1217014789581299,4,0.6633074283599854
60000,60000,4,1.341459035873413,4,0.7720723152160645
70000,70000,4,1.6110458374023438,4,0.9223678112030029
80000,80000,4,1.8597540855407715,4,1.108762502670288
90000,90000,4,2.719493865966797,4,1.6283342838287354
100000,100000,4,3.4471616744995117,4,1.8415641784667969
